NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Chris Duarte,Ind,G,25.8,46,19.5,19.0,11.0,72,0.847,159,0.428,174,0.316,0.452,0.496,7.9,2.5,1.4,0.5,0.2,0.9,10.4,9.3,11.8,6.2,100.7,115.7
Jeff Green,Den,F,36.6,56,19.5,17.0,12.3,117,0.744,224,0.58,104,0.288,0.534,0.576,7.8,2.6,1.2,0.3,0.3,0.8,10.4,9.0,11.6,5.9,114.1,109.9
Tre Mann,Okc,G,22.2,67,17.7,20.7,11.0,55,0.764,244,0.475,257,0.315,0.474,0.492,7.7,2.3,1.8,0.6,0.2,0.9,10.0,9.5,11.8,7.2,101.0,110.2
Pat Connaughton,Mil,G,30.3,61,23.7,13.8,7.3,41,0.659,99,0.566,322,0.339,0.521,0.531,7.6,4.6,1.3,0.6,0.2,0.5,12.3,8.9,13.5,6.0,112.4,109.6
Joe Harris,Bro,G-F,31.6,74,20.6,14.3,8.5,28,0.643,107,0.551,333,0.426,0.618,0.621,7.6,2.2,1.4,0.5,0.2,0.6,9.8,9.0,11.2,5.6,118.9,110.5
Trey Lyles,Sac,F,27.4,74,16.9,18.1,13.5,124,0.815,168,0.595,240,0.363,0.565,0.607,7.6,4.1,0.9,0.4,0.4,0.9,11.6,8.5,12.5,7.2,117.3,110.3
Torrey Craig,Pho,F,32.3,79,24.7,13.0,12.7,45,0.711,246,0.52,254,0.394,0.556,0.566,7.4,5.4,1.5,0.6,0.8,0.9,12.8,8.9,14.3,6.3,116.3,107.3
Mitchell Robinson,Nyk,C-F,25.0,59,26.9,10.1,12.8,122,0.484,280,0.671,0,0.0,0.671,0.652,7.4,9.4,0.9,0.9,1.8,0.7,16.8,8.3,17.7,5.9,142.6,104.9
Obi Toppin,Nyk,F,25.1,67,15.7,19.5,8.3,47,0.809,172,0.593,247,0.344,0.548,0.565,7.4,2.8,1.0,0.3,0.2,0.6,10.2,8.4,11.2,7.0,115.6,110.8
Trendon Watford,Por,F,22.4,62,19.1,16.1,18.0,100,0.72,259,0.602,64,0.391,0.599,0.625,7.4,3.8,2.1,0.5,0.2,1.1,11.2,9.5,13.3,8.2,118.1,110.6
Delon Wright,Was,G,31.0,50,24.4,12.9,13.1,60,0.867,172,0.564,120,0.342,0.543,0.579,7.4,3.6,3.9,1.8,0.3,0.9,11.0,11.3,14.9,7.7,127.3,112.2
Josh Okogie,Pho,G,24.6,72,18.8,17.7,13.2,192,0.724,217,0.442,197,0.335,0.471,0.531,7.3,3.5,1.5,0.8,0.5,0.9,10.8,8.8,12.3,7.2,113.8,108.4
Reggie Bullock,Dal,G-F,32.1,78,30.3,10.0,7.3,37,0.703,73,0.562,397,0.38,0.569,0.577,7.2,3.6,1.4,0.7,0.2,0.5,10.8,8.6,12.2,4.4,116.0,113.2
Isaiah Jackson,Ind,F,21.2,63,16.5,17.5,14.0,146,0.651,304,0.582,14,0.143,0.566,0.595,7.2,4.5,0.8,0.5,1.5,0.8,11.7,8.0,12.5,7.2,120.2,105.5
Troy Brown Jr.,Lal,G-F,23.7,76,24.5,12.1,9.5,39,0.872,184,0.505,281,0.381,0.545,0.561,7.1,4.1,1.3,0.8,0.2,0.6,11.2,8.4,12.4,5.5,113.6,109.8
Edmond Sumner,Bro,G,27.3,53,13.9,22.0,15.7,108,0.917,182,0.511,87,0.356,0.519,0.597,7.1,1.5,1.3,0.6,0.2,0.9,8.6,8.4,9.9,6.9,112.3,107.1
Kevon Looney,Gol,F,27.2,82,23.9,10.6,10.5,155,0.606,383,0.632,1,0.0,0.63,0.639,7.0,9.3,2.5,0.6,0.6,0.5,16.3,9.6,18.8,9.1,148.7,103.3
Xavier Tillman,Mem,F,24.2,61,19.3,13.7,12.6,89,0.551,291,0.632,15,0.267,0.621,0.621,7.0,5.0,1.6,1.0,0.5,0.7,12.1,8.6,13.6,7.9,129.0,105.2
Joe Ingles,Mil,F-G,35.5,46,22.7,12.6,18.1,21,0.857,45,0.556,203,0.409,0.603,0.616,6.9,2.8,3.3,0.7,0.1,1.2,9.7,10.2,12.9,7.0,119.6,108.2
Ty Jerome,Gol,G-F,25.8,45,18.1,14.9,11.0,41,0.927,152,0.546,90,0.389,0.56,0.594,6.9,1.7,3.0,0.5,0.1,0.7,8.6,9.9,11.6,7.2,126.1,112.1
Cory Joseph,Det,G,31.6,62,19.8,15.2,13.7,72,0.792,171,0.468,180,0.389,0.527,0.558,6.9,1.7,3.5,0.5,0.1,0.9,8.6,10.4,12.1,7.0,118.8,116.5
Romeo Langford,San,G-F,23.5,43,19.6,15.4,10.4,56,0.696,198,0.53,61,0.262,0.498,0.524,6.9,2.7,1.2,0.6,0.3,0.7,9.6,8.1,10.7,5.7,110.1,117.1
Ben Simmons,Bro,G-F,26.7,42,26.3,14.3,29.2,57,0.439,233,0.571,2,0.0,0.566,0.559,6.9,6.3,6.1,1.3,0.5,2.3,13.2,13.0,19.3,9.8,111.1,101.5
Larry Nance Jr.,Nor,F-C,30.3,65,21.2,11.9,12.1,79,0.696,263,0.654,42,0.333,0.633,0.649,6.8,5.4,1.8,0.9,0.6,0.6,12.2,8.6,14.1,7.6,134.4,104.0
Jeremiah Robinson-Earl,Okc,F,22.4,43,18.9,14.6,7.1,42,0.833,137,0.533,111,0.333,0.518,0.548,6.8,4.2,1.0,0.6,0.3,0.4,11.0,7.8,12.0,6.5,121.6,109.2
Aaron Wiggins,Okc,G-F,24.3,70,18.5,14.4,13.1,71,0.831,241,0.573,122,0.393,0.579,0.607,6.8,3.0,1.1,0.6,0.2,0.8,9.8,8.0,11.0,6.1,119.4,110.2
Terence Davis,Sac,G,25.9,64,13.1,22.2,12.7,43,0.791,121,0.537,243,0.366,0.545,0.563,6.7,2.2,1.0,0.7,0.2,0.8,8.9,7.8,10.0,7.5,105.8,104.7
Anthony Lamb,Gol,F,25.2,62,19.2,13.9,14.7,60,0.767,115,0.652,199,0.367,0.588,0.61,6.7,3.5,1.5,0.5,0.3,0.9,10.2,8.2,11.7,6.8,119.1,107.2
Isaiah Livers,Det,F,24.7,52,23.1,11.9,9.4,39,0.821,85,0.541,203,0.365,0.545,0.567,6.7,2.8,0.8,0.5,0.5,0.6,9.4,7.4,10.2,4.3,112.8,114.4
Theo Maledon,Cha,G,21.8,44,19.4,17.0,18.8,74,0.851,159,0.465,95,0.295,0.457,0.515,6.7,2.8,3.5,0.8,0.3,1.3,9.5,10.2,13.0,8.3,105.4,111.1
Dwight Powell,Dal,F-C,31.7,76,19.2,12.6,19.4,168,0.667,264,0.746,5,0.0,0.732,0.738,6.7,4.1,0.9,0.6,0.3,0.9,10.8,7.6,11.7,6.1,142.5,104.2
David Roddy,Mem,F,22.0,70,18.0,16.7,11.9,65,0.631,208,0.553,212,0.307,0.506,0.519,6.7,2.8,0.8,0.4,0.3,0.8,9.4,7.5,10.3,5.5,103.0,107.7
Drew Eubanks,Por,F-C,26.2,78,20.3,12.5,16.7,125,0.664,316,0.655,18,0.389,0.651,0.666,6.6,5.4,1.3,0.5,1.3,0.9,12.0,8.0,13.3,7.1,130.8,109.4
Jordan Goodwin,Was,G,24.5,62,17.8,17.3,13.9,69,0.768,235,0.511,118,0.322,0.501,0.531,6.6,3.3,2.7,0.9,0.4,0.9,9.9,9.3,12.6,8.7,113.9,108.5
Jock Landale,Pho,C,27.5,69,14.2,19.3,14.9,105,0.752,253,0.621,84,0.25,0.559,0.595,6.6,4.1,1.0,0.2,0.4,0.9,10.7,7.6,11.7,8.5,119.7,103.1
Nassir Little,Por,F-G,23.2,54,18.1,16.0,10.6,46,0.717,145,0.524,158,0.367,0.538,0.555,6.6,2.6,0.9,0.4,0.4,0.7,9.3,7.6,10.2,5.5,108.8,115.9
Goran Dragic,Chi,G,36.9,50,15.6,21.0,15.6,41,0.659,170,0.482,128,0.352,0.502,0.516,6.5,1.4,2.8,0.2,0.1,1.1,7.9,9.3,10.7,7.5,103.9,110.2
Patrick Beverley,Lal,G,34.7,45,26.9,10.6,14.8,50,0.78,83,0.506,158,0.348,0.517,0.548,6.4,3.1,2.6,0.9,0.6,0.9,9.5,9.0,12.1,5.5,112.6,106.8
JaMychal Green,Gol,F-C,32.8,57,14.0,17.5,17.1,67,0.776,141,0.667,111,0.378,0.623,0.65,6.4,3.6,0.9,0.4,0.4,0.9,10.0,7.3,10.9,7.8,121.3,103.5
Sam Hauser,Bos,F,25.3,80,16.1,14.7,7.0,17,0.706,61,0.656,335,0.418,0.631,0.634,6.4,2.6,0.9,0.4,0.3,0.4,9.0,7.3,9.8,6.1,123.9,107.2
Isaac Okoro,Cle,F-G,22.2,76,21.7,11.9,10.6,103,0.757,183,0.617,171,0.363,0.582,0.614,6.4,2.5,1.1,0.7,0.4,0.6,8.9,7.6,10.1,4.8,123.7,104.9
Duncan Robinson,Mia,F,29.0,42,16.5,17.9,10.6,32,0.906,45,0.556,192,0.328,0.504,0.534,6.4,1.6,1.1,0.3,0.0,0.7,8.0,7.5,9.1,5.4,105.0,105.8
Simone Fontecchio,Uta,F,27.3,52,14.7,20.2,11.1,44,0.795,121,0.43,191,0.33,0.47,0.495,6.3,1.7,0.8,0.3,0.2,0.8,8.0,7.1,8.8,5.6,100.8,113.9
Mike Muscala,Okc,F-C,31.8,43,14.5,15.7,6.4,39,0.795,61,0.541,142,0.394,0.576,0.602,6.2,3.1,0.9,0.3,0.4,0.3,9.3,7.0,10.2,7.1,125.0,105.5
Nicolas Batum,Lac,G-F,34.3,78,21.9,11.5,11.6,48,0.708,64,0.563,317,0.391,0.583,0.594,6.1,3.8,1.6,0.7,0.6,0.6,10.0,7.7,11.5,6.1,120.8,108.2
Oshae Brissett,Ind,F-G,24.8,65,16.7,16.1,9.4,145,0.717,164,0.457,155,0.31,0.461,0.52,6.1,3.4,0.7,0.5,0.2,0.5,9.5,6.8,10.2,5.8,110.8,114.3
Robert Covington,Lac,F,32.3,48,16.2,15.6,12.2,40,0.75,93,0.516,136,0.397,0.563,0.584,6.0,3.5,1.2,0.8,0.7,0.7,9.5,7.2,10.7,7.2,116.3,103.6
Andre Drummond,Chi,C,29.7,67,12.7,21.0,21.5,125,0.536,271,0.613,3,0.0,0.606,0.606,6.0,6.6,0.5,0.7,0.4,1.1,12.6,6.4,13.1,8.5,115.2,93.2
Jaylin Williams,Okc,F,20.8,49,18.7,13.4,13.7,54,0.704,121,0.463,112,0.411,0.536,0.561,5.9,4.9,1.6,0.6,0.2,0.8,10.8,7.4,12.4,7.7,115.4,102.7
Josh Christopher,Hou,G,21.3,64,12.3,21.9,15.4,60,0.75,240,0.55,89,0.236,0.497,0.523,5.8,1.1,1.1,0.5,0.2,0.9,6.9,7.0,8.1,6.2,101.9,116.0
Jalen Johnson,Atl,F,21.3,69,15.1,16.0,11.3,78,0.628,218,0.587,104,0.288,0.537,0.554,5.7,4.1,1.2,0.6,0.5,0.6,9.8,6.9,11.0,8.0,114.2,105.5
Alex Caruso,Chi,G,29.1,67,23.5,11.1,21.2,73,0.808,135,0.556,151,0.364,0.551,0.588,5.6,2.9,2.9,1.5,0.7,1.1,8.5,8.5,11.4,6.1,115.1,104.0
Montrezl Harrell,Phi,F-C,29.2,57,11.9,18.9,14.3,101,0.693,203,0.616,6,0.0,0.598,0.631,5.6,2.8,0.6,0.3,0.4,0.6,8.4,6.2,9.0,7.1,125.1,105.1
Kevin Knox II,Det,F,23.7,42,14.1,16.2,15.1,33,0.788,63,0.651,116,0.371,0.589,0.612,5.6,2.6,0.4,0.3,0.3,0.8,8.2,6.0,8.6,5.1,109.6,108.6
Davion Mitchell,Sac,G,24.6,80,18.1,14.1,13.4,31,0.806,202,0.584,197,0.32,0.533,0.545,5.6,1.3,2.3,0.6,0.2,0.8,6.9,7.9,9.3,5.7,111.3,112.9
Payton Pritchard,Bos,G,25.2,48,13.4,19.9,14.0,16,0.75,91,0.495,154,0.364,0.527,0.536,5.6,1.8,1.3,0.3,0.0,0.8,7.5,7.0,8.8,7.0,104.9,110.2
Yuta Watanabe,Bro,G-F,28.5,58,16.0,13.1,8.7,47,0.723,97,0.557,135,0.444,0.621,0.637,5.6,2.4,0.8,0.4,0.3,0.4,8.0,6.4,8.8,5.5,125.4,109.9
Wenyen Gabriel,Lal,F,26.0,68,15.1,14.1,15.0,84,0.619,224,0.647,36,0.278,0.615,0.626,5.5,4.2,0.5,0.4,0.5,0.7,9.7,6.0,10.2,6.0,124.5,101.4
Devonte' Graham,Nor,G,28.1,53,15.3,15.0,10.5,59,0.746,41,0.463,190,0.347,0.511,0.545,5.3,1.4,2.2,0.6,0.2,0.5,6.6,7.5,8.8,6.6,118.4,111.1
Bryce McGowens,Cha,G,20.4,46,17.1,15.0,17.5,80,0.75,122,0.443,80,0.325,0.46,0.519,5.3,2.0,1.2,0.3,0.1,0.9,7.4,6.5,8.5,5.5,100.4,114.7
Lamar Stevens,Cle,F,25.8,62,18.1,13.6,8.6,57,0.702,193,0.513,95,0.316,0.5,0.524,5.3,3.4,0.5,0.4,0.3,0.4,8.6,5.8,9.2,4.6,109.4,106.7
Rudy Gay,Uta,F-G,36.6,56,14.6,17.7,11.4,49,0.857,157,0.484,130,0.254,0.437,0.475,5.2,2.9,1.0,0.3,0.3,0.7,8.1,6.3,9.2,6.8,100.9,110.8
Zeke Nnaji,Den,F-C,22.2,53,13.7,15.2,13.6,62,0.645,131,0.71,65,0.262,0.605,0.62,5.2,2.6,0.3,0.3,0.4,0.6,7.8,5.6,8.2,4.7,120.8,103.5
Lindy Waters III,Okc,F,25.7,41,12.9,15.5,5.3,20,0.8,16,0.75,162,0.358,0.556,0.573,5.2,1.8,0.7,0.3,0.3,0.2,7.0,5.9,7.7,5.8,119.8,111.0
MarJon Beauchamp,Mil,F,22.5,52,13.5,18.3,15.6,37,0.73,101,0.485,142,0.331,0.492,0.513,5.1,2.2,0.7,0.4,0.1,0.9,7.3,5.8,8.0,5.9,99.5,105.0
John Konchar,Mem,G,27.0,72,20.7,10.4,10.4,36,0.778,143,0.545,177,0.339,0.525,0.542,5.1,4.3,1.4,1.1,0.3,0.5,9.3,6.4,10.7,6.1,116.8,105.6
Vlatko Cancar,Den,F,26.0,60,14.8,13.8,14.0,43,0.907,112,0.58,115,0.374,0.57,0.606,5.0,2.1,1.3,0.4,0.2,0.6,7.1,6.3,8.4,6.5,118.9,108.5
Isaiah Hartenstein,Nyk,C-F,24.9,82,19.9,11.2,16.8,71,0.676,290,0.576,37,0.216,0.547,0.567,5.0,6.5,1.2,0.6,0.8,0.8,11.5,6.2,12.7,6.8,124.6,101.3
Jaxson Hayes,Nor,C-F,22.9,47,13.0,15.7,16.6,83,0.699,127,0.654,29,0.103,0.561,0.605,5.0,2.8,0.7,0.4,0.4,0.7,7.8,5.7,8.5,6.6,117.7,103.7
Derrick Jones Jr.,Chi,F,26.1,64,14.0,14.4,9.8,84,0.738,150,0.587,80,0.338,0.559,0.597,5.0,2.4,0.5,0.5,0.6,0.4,7.4,5.5,7.9,5.2,123.4,106.2
Chimezie Metu,Sac,F-C,26.1,66,10.4,17.6,12.7,73,0.74,181,0.663,38,0.237,0.61,0.639,4.9,3.0,0.6,0.3,0.3,0.5,7.9,5.5,8.5,7.9,124.6,104.6
Austin Rivers,Min,G,30.7,52,19.5,10.5,9.9,39,0.769,86,0.558,123,0.35,0.538,0.564,4.9,1.6,1.4,0.5,0.1,0.4,6.5,6.3,7.9,4.6,114.5,111.9
Danuel House Jr.,Phi,F-G,29.8,56,14.4,13.8,11.6,60,0.75,87,0.644,110,0.336,0.566,0.6,4.8,1.7,0.8,0.3,0.2,0.5,6.5,5.6,7.3,5.2,115.3,109.2
Garrison Mathews,Hou,G,26.5,45,13.4,14.3,9.6,45,0.911,15,0.467,155,0.342,0.509,0.564,4.8,1.4,0.5,0.5,0.1,0.4,6.1,5.3,6.6,4.5,117.0,113.6
Moses Moody,Gol,G,20.9,63,13.0,14.6,13.0,53,0.698,92,0.641,135,0.363,0.584,0.603,4.8,1.7,0.8,0.3,0.1,0.5,6.5,5.6,7.3,5.8,116.0,113.6
Christian Braun,Den,G,22.0,76,15.5,13.0,10.8,64,0.625,193,0.565,96,0.354,0.554,0.568,4.7,2.4,0.8,0.5,0.2,0.5,7.1,5.5,7.9,5.4,114.7,108.9
Day'Ron Sharpe,Bro,F,21.4,48,11.5,19.0,19.7,55,0.636,160,0.544,11,0.545,0.561,0.581,4.7,4.2,0.8,0.3,0.7,0.9,8.9,5.5,9.7,8.7,120.0,99.3
Dean Wade,Cle,F-C,26.4,44,20.3,10.2,8.7,23,0.652,50,0.56,127,0.354,0.54,0.55,4.7,3.4,0.8,0.6,0.5,0.4,8.1,5.5,8.9,4.6,113.4,102.7
Davis Bertans,Dal,F,30.4,45,10.9,16.2,5.9,15,0.867,19,0.737,141,0.39,0.603,0.618,4.6,1.2,0.5,0.2,0.2,0.2,5.8,5.0,6.2,5.1,120.7,109.5
Malachi Flynn,Tor,G,24.9,53,13.0,17.4,9.4,33,0.758,109,0.367,133,0.353,0.457,0.479,4.6,1.4,1.3,0.4,0.1,0.5,6.1,6.0,7.4,6.2,104.9,109.2
Haywood Highsmith,Mia,F,26.3,54,18.0,12.5,17.2,28,0.464,107,0.523,109,0.339,0.516,0.517,4.4,3.5,0.8,0.7,0.3,0.8,7.8,5.2,8.6,5.1,101.5,106.5
JaVale McGee,Dal,C-F,35.2,42,8.4,22.8,22.3,41,0.585,120,0.65,5,0.4,0.648,0.65,4.4,2.5,0.3,0.1,0.6,0.9,7.0,4.7,7.2,7.1,109.0,101.4
Thaddeus Young,Tor,F,34.8,54,14.7,13.5,17.5,26,0.692,164,0.622,34,0.176,0.561,0.573,4.4,3.1,1.4,1.0,0.1,0.8,7.5,5.8,8.9,7.3,116.6,104.2
Bismack Biyombo,Pho,C,30.6,61,14.3,14.0,19.8,70,0.357,206,0.578,0,0.0,0.578,0.555,4.3,4.2,0.9,0.3,1.4,0.8,8.6,5.2,9.5,7.1,109.3,101.6
Paul Reed,Phi,F,23.8,69,10.9,16.4,17.7,51,0.745,203,0.606,6,0.167,0.596,0.62,4.2,3.8,0.4,0.7,0.7,0.7,8.0,4.6,8.3,6.8,124.3,95.2
Ish Wainright,Pho,F,28.6,60,15.3,12.2,8.8,31,0.839,54,0.5,173,0.329,0.496,0.522,4.2,2.3,0.9,0.6,0.4,0.4,6.5,5.1,7.4,5.4,114.2,103.6
Blake Griffin,Bos,F,34.1,41,13.9,12.8,14.4,32,0.656,64,0.625,66,0.348,0.573,0.59,4.1,3.8,1.5,0.3,0.2,0.5,7.9,5.6,9.4,8.2,128.0,99.4
Isaiah Roby,San,F,25.2,42,11.3,17.8,16.6,41,0.488,95,0.516,60,0.3,0.49,0.497,4.1,2.5,0.9,0.4,0.2,0.7,6.6,5.0,7.5,7.4,96.7,110.0
Daishen Nix,Hou,G,21.2,57,16.0,15.4,26.6,36,0.667,97,0.423,140,0.286,0.426,0.447,4.0,1.7,2.3,0.5,0.1,1.5,5.7,6.3,8.0,6.3,88.3,117.0
Aaron Holiday,Atl,G,26.5,63,13.4,13.4,14.0,32,0.844,132,0.424,88,0.409,0.5,0.528,3.9,1.2,1.4,0.6,0.2,0.6,5.1,5.3,6.5,5.6,110.0,111.2
Jabari Walker,Por,F,20.7,56,11.1,17.3,12.8,45,0.756,142,0.472,56,0.286,0.46,0.496,3.9,2.3,0.6,0.2,0.2,0.5,6.2,4.5,6.8,6.3,105.1,110.8
Dyson Daniels,Nor,G,20.1,59,17.7,11.6,21.5,40,0.65,122,0.492,86,0.314,0.483,0.503,3.8,3.2,2.3,0.7,0.2,1.0,7.0,6.1,9.3,6.9,104.8,105.0
Caleb Houstan,Orl,G,20.2,51,15.9,11.0,9.0,18,0.833,46,0.435,136,0.338,0.489,0.508,3.8,1.9,0.6,0.2,0.1,0.4,5.7,4.4,6.3,4.1,108.7,111.5
Luke Kornet,Bos,F-C,27.7,69,11.7,11.5,12.8,39,0.821,157,0.701,13,0.231,0.674,0.697,3.8,2.9,0.8,0.2,0.7,0.4,6.6,4.6,7.4,7.1,144.8,104.8
JT Thor,Cha,F,20.6,69,14.0,13.2,15.6,47,0.702,115,0.487,123,0.317,0.481,0.506,3.8,2.2,0.5,0.3,0.3,0.6,6.0,4.3,6.5,4.6,97.4,112.9
Jordan McLaughlin,Min,G,27.0,43,15.8,11.7,18.5,18,0.833,67,0.552,78,0.308,0.503,0.526,3.7,1.4,3.4,0.7,0.1,0.8,5.2,7.2,8.6,6.6,118.7,115.1
Taj Gibson,Was,F,37.8,48,10.0,15.3,17.2,42,0.714,101,0.564,24,0.333,0.552,0.585,3.5,1.9,0.7,0.3,0.3,0.5,5.4,4.2,6.1,6.7,114.7,100.3
Miles McBride,Nyk,G,22.6,64,11.9,14.6,10.4,42,0.667,81,0.457,134,0.299,0.451,0.475,3.5,0.8,1.1,0.6,0.1,0.4,4.3,4.6,5.4,4.9,105.8,110.5
P.J. Tucker,Phi,F,37.9,75,25.6,6.5,16.3,23,0.826,85,0.482,140,0.393,0.549,0.566,3.5,3.9,0.8,0.5,0.2,0.6,7.5,4.3,8.3,3.5,118.7,108.1
Amir Coffey,Lac,G-F,25.8,50,12.5,13.5,12.6,63,0.778,105,0.429,40,0.275,0.424,0.498,3.4,1.1,1.1,0.1,0.1,0.4,4.5,4.5,5.6,5.1,108.4,112.6
Kai Jones,Cha,C-F,22.2,46,11.9,12.4,20.5,26,0.731,101,0.624,19,0.211,0.575,0.597,3.4,2.7,0.3,0.4,0.7,0.7,6.1,3.7,6.4,4.7,106.9,105.9
Wesley Matthews,Mil,G,36.5,52,15.7,9.8,10.1,28,0.857,36,0.528,124,0.315,0.484,0.519,3.4,2.2,0.7,0.4,0.3,0.3,5.6,4.1,6.3,4.4,113.1,107.2
Jericho Sims,Nyk,C,24.5,52,15.6,7.4,20.1,16,0.75,106,0.783,1,0.0,0.776,0.78,3.4,4.7,0.5,0.3,0.5,0.5,8.1,3.9,8.6,5.1,146.4,104.3
Anthony Gill,Was,F,30.5,59,10.6,12.3,10.2,67,0.731,103,0.65,29,0.138,0.553,0.604,3.3,1.7,0.6,0.1,0.2,0.3,5.0,3.9,5.6,5.7,128.1,109.2
Raul Neto,Cle,G,30.9,48,10.5,13.1,17.2,34,0.912,68,0.662,42,0.286,0.573,0.628,3.3,1.0,1.6,0.4,0.1,0.5,4.2,4.9,5.9,6.6,127.4,105.1
Max Christie,Lal,G,20.2,41,12.5,10.3,10.1,16,0.875,44,0.409,62,0.419,0.538,0.566,3.1,1.8,0.5,0.2,0.2,0.3,5.0,3.6,5.5,4.5,111.7,110.6
Richaun Holmes,Sac,F,29.5,42,8.3,13.7,13.5,19,0.789,81,0.617,8,0.625,0.646,0.668,3.1,1.9,0.2,0.1,0.3,0.3,5.0,3.3,5.2,5.1,128.0,105.0
Christian Koloko,Tor,C,22.8,58,13.8,10.4,11.7,59,0.627,138,0.514,12,0.083,0.483,0.517,3.1,2.9,0.5,0.4,1.0,0.3,6.1,3.7,6.6,4.8,119.3,101.5
Usman Garuba,Hou,F,21.1,75,12.9,10.5,21.0,47,0.617,118,0.525,59,0.407,0.554,0.569,3.0,4.1,0.9,0.6,0.4,0.6,7.1,3.9,7.9,6.9,118.3,105.0
Juancho Hernangomez,Tor,F,27.5,42,14.6,9.5,11.6,16,0.563,47,0.66,67,0.254,0.496,0.504,2.9,2.9,0.6,0.4,0.1,0.4,5.8,3.5,6.4,4.7,108.3,110.4
Frank Ntilikina,Dal,G,24.7,47,12.9,13.1,18.0,33,0.667,65,0.477,67,0.254,0.428,0.461,2.9,1.3,1.2,0.3,0.1,0.6,4.2,4.1,5.4,5.1,94.7,109.3
Matisse Thybulle,Phi,G-F,26.1,49,12.1,9.8,6.4,12,0.75,53,0.547,63,0.333,0.522,0.536,2.7,1.3,0.5,0.9,0.3,0.2,3.9,3.1,4.4,4.0,116.2,103.6
Ish Smith,Den,G,34.8,43,9.3,19.3,25.1,4,0.5,119,0.42,12,0.167,0.405,0.407,2.5,1.3,2.3,0.2,0.2,1.0,3.8,4.8,6.1,8.4,88.7,109.9
