Rk,Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2022-2023,Milwaukee Bucks,82,241.8,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
2,2022-2023,Boston Celtics,82,243.7,42.2,88.8,0.475,16,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
3,2022-2023,Philadelphia 76ers,82,242.4,40.8,83.8,0.487,12.6,32.6,0.387,28.2,51.2,0.551,21,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2
4,2022-2023,Denver Nuggets,82,240.9,43.6,86.4,0.504,11.8,31.2,0.379,31.8,55.2,0.575,16.8,22.4,0.751,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8
5,2022-2023,Cleveland Cavaliers,82,242.4,41.6,85.2,0.488,11.6,31.6,0.367,30,53.6,0.559,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3
6,2022-2023,Memphis Grizzlies,82,241.2,43.7,92.1,0.475,12,34.2,0.351,31.7,57.9,0.548,17.5,23.8,0.733,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9
7,2022-2023,Sacramento Kings,82,241.8,43.6,88.2,0.494,13.8,37.3,0.369,29.8,50.9,0.586,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,120.7
8,2022-2023,New York Knicks,82,243.4,42,89.4,0.47,12.6,35.7,0.354,29.4,53.6,0.547,19.4,25.5,0.761,12.6,34,46.6,22.9,6.4,4.1,13,20.3,116
9,2022-2023,Brooklyn Nets,82,240.6,41.5,85.1,0.487,12.8,33.8,0.378,28.7,51.3,0.559,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
10,2022-2023,Phoenix Suns,82,241.2,42.1,90.1,0.467,12.2,32.6,0.374,29.9,57.5,0.52,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6
11,2022-2023,Golden State Warriors,82,241.8,43.1,90.2,0.479,16.6,43.2,0.385,26.5,47,0.564,16,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9
12,2022-2023,Los Angeles Clippers,82,241.8,41.1,86.1,0.477,12.7,33.4,0.381,28.4,52.7,0.539,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6
13,2022-2023,Miami Heat,82,241.5,39.2,85.3,0.46,12,34.8,0.344,27.3,50.5,0.54,19.1,23,0.831,9.7,30.9,40.6,23.8,8,3,13.5,18.5,109.5
14,2022-2023,Los Angeles Lakers,82,242.4,42.9,89,0.482,10.8,31.2,0.346,32.1,57.8,0.555,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2
15,2022-2023,Minnesota Timberwolves,82,241.8,42.9,87.4,0.49,12.2,33.3,0.365,30.7,54.1,0.568,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,115.8
16,2022-2023,New Orleans Pelicans,82,242.1,42,87.6,0.48,11,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4
17,2022-2023,Atlanta Hawks,82,242.1,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4
18,2022-2023,Toronto Raptors,82,241.5,41.9,91.3,0.459,10.7,32,0.335,31.1,59.3,0.525,18.4,23.4,0.784,12.7,30.3,43,23.9,9.4,5.2,11.7,20,112.9
19,2022-2023,Chicago Bulls,82,242.7,42.5,86.8,0.49,10.4,28.9,0.361,32.1,57.9,0.555,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1
20,2022-2023,Oklahoma City Thunder,82,242.1,43.1,92.6,0.465,12.1,34.1,0.356,31,58.5,0.53,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13,21,117.5
21,2022-2023,Dallas Mavericks,82,243,40,84.3,0.475,15.2,41,0.371,24.8,43.3,0.574,19,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2
22,2022-2023,Utah Jazz,82,241.5,42.5,89.8,0.473,13.3,37.8,0.353,29.2,52,0.56,18.7,23.8,0.786,11.8,34.1,45.9,26,6.1,5.2,15.4,20.5,117.1
23,2022-2023,Indiana Pacers,82,240.9,42,89.6,0.469,13.6,37,0.367,28.4,52.6,0.54,18.7,23.7,0.79,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2,116.3
24,2022-2023,Washington Wizards,82,240.9,42.1,86.9,0.485,11.3,31.7,0.356,30.9,55.2,0.559,17.6,22.4,0.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2
25,2022-2023,Orlando Magic,82,241.2,40.5,86.3,0.47,10.8,31.1,0.346,29.8,55.2,0.539,19.6,25,0.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4
26,2022-2023,Portland Trail Blazers,82,240.6,40.5,85.4,0.474,12.9,35.3,0.365,27.6,50.1,0.55,19.6,24.6,0.796,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20,113.4
27,2022-2023,Charlotte Hornets,82,241.8,41.3,90.4,0.457,10.7,32.5,0.33,30.5,57.9,0.528,17.6,23.6,0.749,11,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111
28,2022-2023,Houston Rockets,82,240.9,40.6,88.9,0.457,10.4,31.9,0.327,30.2,56.9,0.53,19.1,25.3,0.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7
29,2022-2023,San Antonio Spurs,82,242.1,43.1,92.6,0.465,11.1,32.2,0.345,32,60.4,0.529,15.8,21.2,0.743,11.8,31.9,43.7,27.2,7,3.9,15.3,19.9,113
30,2022-2023,Detroit Pistons,82,241.5,39.6,87.1,0.454,11.4,32.4,0.351,28.2,54.6,0.516,19.8,25.7,0.771,11.2,31.3,42.4,23,7,3.8,15.1,22.1,110.3
1,2021-2022,Phoenix Suns,82,240.6,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8
2,2021-2022,Memphis Grizzlies,82,241.2,43.5,94.4,0.461,11.5,32.7,0.353,32,61.7,0.519,17,23.1,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6
3,2021-2022,Golden State Warriors,82,240.6,40.5,86.4,0.469,14.3,39.4,0.364,26.2,47,0.557,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111
4,2021-2022,Miami Heat,82,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26,49,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110
5,2021-2022,Dallas Mavericks,82,240.9,39.3,85.1,0.461,13.1,37.4,0.35,26.2,47.8,0.548,16.4,21.2,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108
6,2021-2022,Boston Celtics,82,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
7,2021-2022,Milwaukee Bucks,82,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5
8,2021-2022,Philadelphia 76ers,82,241.5,39.4,84.5,0.466,11.6,31.8,0.364,27.8,52.7,0.527,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9
9,2021-2022,Utah Jazz,82,240.6,40.6,86.2,0.471,14.5,40.3,0.36,26,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6
10,2021-2022,Denver Nuggets,82,241.5,41.7,86.3,0.483,12.7,35.9,0.353,29,50.4,0.575,16.7,21,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7
11,2021-2022,Toronto Raptors,82,242.1,40.6,91.3,0.445,11.9,34.2,0.349,28.7,57.1,0.503,16.2,21.3,0.759,13.4,32,45.3,22.1,9,4.6,12.5,19.6,109.4
12,2021-2022,Chicago Bulls,82,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6
13,2021-2022,Minnesota Timberwolves,82,241.2,41.6,91,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9
14,2021-2022,Brooklyn Nets,82,240.9,42,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.538,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9
15,2021-2022,Cleveland Cavaliers,82,240.6,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,107.8
16,2021-2022,Atlanta Hawks,82,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9
17,2021-2022,Charlotte Hornets,82,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3
18,2021-2022,Los Angeles Clippers,82,241.2,40.1,87.4,0.458,12.8,34.2,0.374,27.3,53.3,0.512,15.5,19.6,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4
19,2021-2022,New York Knicks,82,241.2,37.7,86.2,0.437,13.2,36.9,0.357,24.5,49.3,0.497,18,24.1,0.744,11.5,34.6,46.1,21.9,7,4.9,13.3,20.4,106.5
20,2021-2022,New Orleans Pelicans,82,240.9,40.2,88,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3
21,2021-2022,Washington Wizards,82,241.8,40.6,86,0.472,10.5,30.6,0.342,30.1,55.4,0.543,17,21.7,0.783,9,34.1,43.1,25,6.4,5,13.1,18.8,108.6
22,2021-2022,San Antonio Spurs,82,241.5,43.2,92.7,0.467,11.3,32,0.352,32,60.7,0.527,15.4,20.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2
23,2021-2022,Los Angeles Lakers,82,243.7,41.6,88.8,0.469,12,34.5,0.347,29.7,54.3,0.546,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1
24,2021-2022,Sacramento Kings,82,241.5,40.5,88.1,0.46,11.4,33.2,0.344,29.1,54.9,0.53,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3
25,2021-2022,Portland Trail Blazers,82,240.6,38.5,87.1,0.442,12.7,36.8,0.346,25.8,50.3,0.513,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2
26,2021-2022,Indiana Pacers,82,242.4,41.4,89.5,0.463,12.2,35.4,0.344,29.3,54.1,0.541,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5
27,2021-2022,Oklahoma City Thunder,82,241.5,38.3,89.1,0.43,12.1,37.4,0.323,26.2,51.8,0.507,15,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14,18.3,103.7
28,2021-2022,Detroit Pistons,82,241.2,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54,0.498,17.2,22,0.782,11,32,43,23.5,7.7,4.8,14.2,21.9,104.8
29,2021-2022,Orlando Magic,82,241.2,38.3,88.3,0.434,12.2,36.9,0.331,26.1,51.4,0.507,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2
30,2021-2022,Houston Rockets,82,240.9,39.4,86.4,0.456,13.5,38.7,0.349,25.9,47.7,0.543,17.5,24.5,0.713,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,109.7
1,2020-2021,Utah Jazz,72,241,41.3,88.1,0.468,16.7,43,0.389,24.5,45.1,0.544,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4
2,2020-2021,Phoenix Suns,72,242.8,43.3,88.3,0.49,13.1,34.6,0.378,30.3,53.7,0.563,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
3,2020-2021,Philadelphia 76ers,72,242.1,41.4,86.9,0.476,11.3,30.1,0.374,30.1,56.8,0.531,19.6,25.5,0.767,10,35,45.1,23.7,9.1,6.2,14.4,20.2,113.6
4,2020-2021,Brooklyn Nets,72,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6
5,2020-2021,Denver Nuggets,72,242.8,43.3,89.2,0.485,12.9,34.2,0.377,30.4,55,0.552,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
6,2020-2021,Los Angeles Clippers,72,240,41.8,86.7,0.482,14.3,34.7,0.411,27.5,52,0.529,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114
7,2020-2021,Milwaukee Bucks,72,240.7,44.7,91.8,0.487,14.4,37.1,0.389,30.3,54.7,0.554,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
8,2020-2021,Dallas Mavericks,72,240.3,41.1,87.3,0.47,13.8,38.1,0.362,27.3,49.2,0.554,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4
9,2020-2021,Los Angeles Lakers,72,242.4,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
10,2020-2021,Portland Trail Blazers,72,240.3,41.3,91.1,0.453,15.7,40.8,0.385,25.6,50.3,0.509,17.8,21.6,0.823,10.6,33.9,44.5,21.3,6.9,5,11.1,18.9,116.1
11,2020-2021,Atlanta Hawks,72,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7
12,2020-2021,New York Knicks,72,242.1,39.4,86.5,0.456,11.8,30,0.392,27.7,56.4,0.49,16.4,20.9,0.784,9.7,35.5,45.1,21.4,7,5.1,12.9,20.5,107
13,2020-2021,Miami Heat,72,241.4,39.2,83.7,0.468,12.9,36.2,0.358,26.3,47.5,0.553,16.7,21.1,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1
14,2020-2021,Golden State Warriors,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7
